"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"L1";"SM1210";1;"10uH";;;
2;"P2";"PIN_ARRAY_2X1";1;"PVCell";;;
3;"U4";"SSOP20";1;"FT231X-SSOP";;;
4;"U5";"SSOP8-9";1;"LTC4070";;;
5;"F1";"_MUSB_MF-MSMF050-Fuse";1;"FUSE";;;
6;"H1";"_MUSB-FEMALE-HEADER-NPPN101BFLC-RC";1;"XBeeLeftPins";;;
7;"H2";"_MUSB-FEMALE-HEADER-NPPN101BFLC-RC";1;"XBeeRightPins";;;
8;"D3,D4";"_MUSB_DO-214BA-Schottky";2;"DIODESCH";;;
9;"U3";"_MUSB_MSOP12";1;"LTC3105-MSOP12";;;
10;"C1,C8";"_MUSB_SM0603_Capa";2;"10uF";;;
11;"C2";"_MUSB_SM0603_Capa";1;"1uF";;;
12;"C3,C4,C9";"_MUSB_SM0603_Capa";3;"100n";;;
13;"C6";"_MUSB_SM0603_Capa";1;"4.7uF";;;
14;"D1";"_MUSB_LED-0603";1;"RX_LED";;;
15;"D2";"_MUSB_LED-0603";1;"TX_LED";;;
16;"D5";"_MUSB_LED-0603";1;"LED";;;
17;"R1,R2";"_MUSB_SM0603_Resistor";2;"22R";;;
18;"R3";"_MUSB_SM0603_Resistor";1;"10k";;;
19;"R4";"_MUSB_SM0603_Resistor";1;"3.3M";;;
20;"R5";"_MUSB_SM0603_Resistor";1;"1M";;;
21;"R6";"_MUSB_SM0603_Resistor";1;"33R";;;
22;"R8,R9";"_MUSB_SM0603_Resistor";2;"270";;;
23;"VR1,VR2";"_MUSB_SM0603_Resistor";2;"VR0603";;;
24;"R10";"_MUSB_SM0603_Resistor";1;"R";;;
25;"Q1";"SOT23";1;"MOS_P";;;
26;"Li-Battery1";"_MUSB_MPD-BK-5033_2450BatteryHolder";1;"BAT2";;;
27;"P1";"_MUSB_USB-A-PCB";1;"USB_4";;;
28;"G***,G***";"LOGO";2;"LOGO";;;
29;"U1";"_MUSB_XBee_Board_OUTLINE_ONLY";1;"XBEE";;;
