Designator	Package	Quantity	Designation	Supplier and ref
C3,C4,C9,C30	SM0603_Capa	4	100n	
D1	LED-0603	1	RX_LED	
D2	LED-0603	1	TX_LED	
D30	SOT23	1	DUAL_SHOTTKEY_PACKAGE	
D5	LED-0603	1	LED	
D6	SMAZ5V6-Zener-DO214	1	ZENER	
D7	SOT23	1	DIODE-NC	
F1	MF-MSMF050-Fuse	1	FUSE	
Fi1,Fi2,Fi3	Fiducial	3	CONN_1	
H1	_MUSB-FEMALE-HEADER-NPPN101BFLD-RC-Pin1Right	1	XBeeLeftPins	
H2	_MUSB-FEMALE-HEADER-NPPN101BFLC-RC-Pin1Left	1	XBeeRightPins	
Li-Battery1	MPD-BK-5033_2450BatteryHolder	1	BAT2	
Q1	SOT23	1	MOS_P	
Q2	SOT23	1	MOS_P-INFINEON-BSS83P	
R1,R2	SM0603_Resistor	2	22R	
R30	TE3521-Series_Resistor-6.3x3.2	1	16R	
R4	SM0603_Resistor	1	33k	
R5	SM0603_Resistor	1	20k	
R8,R9,R10	SM0603_Resistor	3	270R	
U2	SOT23	1	AP7313-3.3VREGULATOR	
U4	SSOP20-FT231X	1	FT231X-SSOP	
U5	SSOP8-9	1	LTC4070	
VR1,VR2	SM0603_Resistor	2	VR0603	
